T6-0500 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0512 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0513 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0514 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0515 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0516 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0517 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0518 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0519 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0520 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0521 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0522 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0523 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0524 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0525 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0526 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0527 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0528 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0529 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0530 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0531 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0532 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0533 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0534 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0535 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0536 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0537 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0538 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0539 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0540 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0541 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0542 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0543 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0544 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0545 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0546 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0547 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0548 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0549 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0550 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0551 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0552 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0553 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0554 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0555 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0556 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0557 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0558 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0559 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0560 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0561 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0562 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0563 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0564 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0565 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0566 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0567 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0568 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0569 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0570 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0571 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0572 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0573 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0574 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0575 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0576 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0577 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0578 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0579 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0580 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0581 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0582 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0583 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0584 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0585 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0586 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0587 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0588 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0589 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0590 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0591 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0592 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0593 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0594 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0595 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0596 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0597 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0598 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0599 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0600 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0601 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0602 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0603 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0604 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0605 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0606 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0607 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0608 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0609 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0610 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0611 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0612 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0613 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0614 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0615 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0616 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0617 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0618 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0619 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0620 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0621 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0622 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0623 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0624 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0625 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0626 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0627 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0628 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0629 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0630 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0631 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0632 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0633 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
