stable_key,clause_alias,clause_title,module,world_objects,issues,scenarios,acceptance,notes
C15-anti_self_pump,第五十三条,严禁自激预测与无意义预测,C06;C08,Prediction,M0-024;M2-016,V42,ART-53,防自激
C16-goal_task_split,第五十四条,Goal与Task分离,C06;C08,Goal;Task,M0-013,V27;V28,R2-08,目标任务分离
C16-goal_source,第五十五条,目标来源必须区分,C06,Goal,M0-013;M1-008,V28,R2-09,推断目标标记
C16-goal_task_relation,第五十六条,Goal与Task关系,C08,Goal;Task,M1-008,V27,R2-08,连续与单次
C16-goal_in_help,第五十七条,Goal参与帮助决策,C08,Goal,M2-005,V27,A09,帮助决策
C16-inferred_goal_denial,第五十八条,推断目标可以被否认,C06;C08,Goal,M3-003,V28,R2-09,否认与衍生暂停
C17-summary_fields,第五十九条,Summary核心字段,C05,Summary,M0-025;M3-004,V30,R2-12,总结字段
C18-task_firstclass,第六十条,任务是一等公民,C08,Task,M0-014,V07;V08,A09-CONS,任务一等
C18-task_types,第六十一条,任务类型,C08,Task,M0-024;M0-027,V35;V42,A09-CONS,十一类含PredictionCheckTask
C18-task_fields,第六十二条,任务必需字段,C08,Task,M0-027,V35,A09-CONS,trigger_expr_ref注入
C18-review_task,第六十三条,认知复核任务,C07;C08,Task,M3-016,V24;V29,R2-15,复核任务
C18-no_infinite_selfwake,第六十四条,认知变化不允许无限自我唤醒,C07;C09,Wake,M3-016,V35,R2-15;R1-07,防自激环
C19-downed_trace,第六十五条,高层认知向下追溯,C07,Dependency,M1-009;M3-016,V30,A05-CONS,可追溯
C19-dependency_record,第六十六条,认知依赖关系必须记录,C07,Dependency,M0-015;M1-009,V29,R2-11,依赖记录
C20-query_experience,第六十七条,AI学习如何查询自己的世界,C12,OperationExperience,M5-001,V16,A08,经验学习
C20-exp_types,第六十八条,认知操作经验类型,C12,OperationExperience,M5-001,V16,A08,经验类型
C20-comm_experience,第六十九条,AI沟通经验,C12,CommunicationExperience,M0-026;M3-014,V44,V3-01,沟通经验
C20-tool_evolution,第七十条,工具也可以进化,C10;C12,ToolProposal,M5-002;M8-001,V16,R1-11,工具提案
C21-object_manifest,第七十一条,第一版核心对象清单,C02,-,M0-023;M0-024~031,-,G1-freeze,22对象;M0'补冻
C22-dim_creation_right,第七十二条,AI拥有维度提出和创建权,C03,DimensionDefinition,M3-006,V14;V15,R1-03,创建权
C22-candidate_record,第七十三条,候选维度必须记录,C03,DimensionDefinition,M3-006,V14,R2-06,候选十要素
C22-dim_lifecycle,第七十四条,维度生命周期,C03,DimensionDefinition,M3-006;M3-007,V14;V15;V26,R2-06;R2-08,状态机
C22-lowfreq_neq_useless,第七十五条,低频不等于无价值,C03,DimensionDefinition,M3-007,V26,R2-07,低频保留
C22-dim_budget,第七十六条,维度不能无限爆炸,C03;G,DimensionDefinition,M0-031;M3-006,V26,R1-04,预算法;ADJ-008
C23-trigger_role,第七十七条,触发器只负责叫醒不负责理解人生,C09,Wake,M2-002,V21,A10-CONS,机械角色
C23-wake_sources,第七十八条,允许直接形成Wake的来源与硬件安全响应,C09,Wake,M0-027;M2-016,V18;V45,ADJ-001,Step-0优先;五源
C23-mech_triggers,第七十九条,基础观测间接唤醒机械机制,C09,Wake,M2-002;M2-016,V21,A10-CONS,八类机械触发
C23-heartbeat,第八十条,关系节奏与长平稳心跳,C16;C09,Wake,M2-022;M0-026,V41,V3-02,ADJ-002去轰炸化
C23-trigger_neq_conclusion,第八十一条,触发不等于结论内心数据反哺时空,C09;C06,Wake;Claim,M2-016;M3-012,V41,A10-CONS,触发非结论
C23-dedup_suppress,第八十二条,重复触发与情境抑制,C09,Wake,M2-003,V09,R1-06;R1-08,去重冷却
C23-threshold_evolution,第八十三条,触发阈值动态进化,C09;G,-,M0-031;M8-001,V36;V41,ADJ-008,参数账本
C24-cockpit_manifest,第八十四条,单次看盘聚合看板与心智启动四步序,C15,CockpitManifest;ContextSnapshot,M0-029;M1-022;M2-017,V31;V32,V3-03,ADJ-001段落序
C24-context_pipeline,第八十五条,上下文精准组装与三级流式流水线,C15,Conversation;ExtractionJob;Watermark,M0-028;M2-018;M2-019,V33;V34,ADJ-007,SLO化1秒首字
C24-conditional_tasks,第八十六条,三层工作结构与条件驱动零浪费,C08;C15,TriggerExpression;ready_view;FactorLog,M0-027;M1-021;M2-016;M2-013,V35;V36,R1-01;R1-02,就绪过滤;7向归因
C24-time_lens,第八十七条,5D时间镜头滑动条,C06b;C03,Summary,M1-010;M1-024,V38,A07-CONS,LOD只读
C24-resonance_align,第八十八条,多维神经共振与跨维对齐,C06b;C06,Claim(HYPOTHESIS),M1-011;M1-018,V37,V37-fixture,对齐与异常回溯
C24-cosearch,第八十九条,多关键词共现联想检索,C06b,term_postings;entity_postings,M1-018;M1-023,V37,ADJ-006,hit_reasons
C24-topology_nav,第九十条,图谱拓扑穿透与因果链导航,C07;C06b,dependency_walk_cache,M1-018;M3-016,V30,A05-CONS,有界穿透
C24-atomic_ops,第九十一条,AI认知操作接口原子清单,C10,-,M2-010,-,A08-CONS,原子操作全集
C25-cognition_ne_oracle,第九十二条,AI形成认知不是神谕,C06,Claim,M0-008,V20,A-core,不确定登记
C25-history_forward,第九十三条,错误允许存在认知向前演化历史不可篡改,C07;C06,InvalidationEpoch;RetrospectiveAnnotation,M3-016;M3-012;M3-013,V24;V29,R2-05;R2-15,K4两阶段;ADJ-005
C25-confidence_per_claim,第九十四条,置信程度针对具体主张,C06,Claim,M0-008;M3-015,V22,R2-09,每主张置信
C26-global_index,第九十五条,建立全局世界索引,C06b,term_postings,M1-018;M1-023,V37,A06-CONS,全局索引
C26-keyword_entry,第九十六条,关键词是入口不是真相,C06b,-,M1-018,V37,ADJ-006,别名与语境裁决
C27-record_effectiveness,第九十七条,长期记录主动行为效果,C11;C12,Outcome,M2-023;M5-001,V41;V44,A08,接受/拒绝/挂起分账
C27-help_not_checklist,第九十八条,帮助不是功能清单,G,-,M4-004,V01,scenario-law,涌现出帮助
C27-wearable_fsm,第九十八条之一,柔性全屏手环形态与FSM零误触宪章,C16,NotificationEpoch;Port,M2-021;M2-023,V45,ADJ-007.2,模拟端口契约;硬件POST-M8
C28-shared_ai,第九十九条,所有App共享同一个AI,G,-,M6-001,V12,A-core,共享心智
C28-light_apps,第一百条,App必须轻量,C11,AppManifest,M6-001,-,A-core,轻App
C28-apps_enrich,第一百零一条,App同时消费世界也丰富世界,C01;C11,-,M6-002,-,A-core,双向
C28-edu_app,第一百零二条,教育App是第一个核心验证App,C14,-,M6-002;M6-004,V12;V13,edu-metrics,教育验证
C28-app_manifest,第一百零三条,AppManifest预留接口,C11,AppManifest,M6-001,-,-,预留契约
C28-capability_registry,第一百零四条,CapabilityRegistry预留接口,C11,CapabilityDescriptor,M6-005,-,-,能力注册
C28-band_3layer_ui,第一百零四条之一,柔性手环三层UI与技能插件体系,C16,AmbientCanvas;SkillCard,M6-005;M2-023,V44;V45,ADJ-007,最小上下文投影
C29-model_replaceable,第一百零五条,不绑定某一个具体模型,C13,-,M2-019;M7-003,-,A-core,模型可换
C29-no_local_semantics,第一百零六条,禁止本地小模型复杂语义判断,C13;C01,-,M1-017;M2-012,-,ADJ-001,信任分级;端侧只机械
C30-core_only,第一百零七条,当前只开发AIOS Core,G,-,M8-004,-,scope-boundary,Core边界
C30-components14,第一百零八条,第一版至少包含14个组件,G,-,M0-023,-,ADJ-010,C01~C16唯一映射
C30-milestones,第一百零九条,M0~M8开发阶段,G,-,M0-023;M8-004,-,ADJ-010,G0~G3门
C30-immutable_contracts,第一百一十条,15条不可随意变更基础契约,G,-,M0-023,-,L2-change,变更分级
C31-answers_first,第一百一十一条,先有答案再生成虚拟世界,C14,-,M4-005;M4-006,V01~V45,A10,隐藏真值隔离
C31-14_abilities,第一百一十二条,必须测试的14项能力,C14,-,M4-005,V01~V20,-,十四能力
C31-scenarios,第一百一十三条,功能不写死场景要写好,C14,-,M4-005,V21~V45,scenario-law,场景库
C32-acceptance,第一百一十四条,全部验收标准,G,-,M4-002;M4-005,-,ACC-registry,A/R1/R2/R3/V3系列注册
C33-amendment_levels,第一百一十五条,架构修改三级,G,-,M0-023,-,ADJ-011,三级治理
C33-veto_list,第一百一十六条,严重违宪一票否决,G,-,M0-023,-,veto-registry,否决清单
